"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ZNF563",0.101405522264259,3.49057858474989,1.69760598034899,0.0939402303217714,0.226380933882429,-5.40060825363926
"SPTBN2",-0.263626785739917,4.43144236188713,-1.69720808717653,0.094015782692962,0.226544426187338,-5.40125846027996
"OR8G2",0.21183356008405,3.03896633507181,1.69699832800241,0.0940556320071406,0.226597871118707,-5.40160117617165
"LOC100507392",0.182087112178515,2.74754902521051,1.69697241346535,0.0940605561198915,0.226597871118707,-5.40164351403594
"ROBO2",0.177964373742038,1.85782305172186,1.69696958291077,0.0940610939763544,0.226597871118707,-5.40164813841723
"PAPPA2",-0.116350019639867,1.80885953403375,-1.69686021031126,0.0940818786730345,0.226629364790421,-5.40182681901889
"ZNRD1",0.0618046927306803,8.04067606756434,1.69633937801654,0.0941809069880118,0.226849315184304,-5.40267755040881
"KCNA1",-0.0912712828864637,1.86330092820684,-1.69614048312315,0.0942187463260063,0.226905863660118,-5.40300236332396
"XLOC_012737",0.111601619747805,1.722764697938,1.69613480760581,0.0942198262639315,0.226905863660118,-5.40301163142964
"XLOC_007701",-0.213837251376188,2.20038126422204,-1.69602649247691,0.0942404384180585,0.226918757066483,-5.40318850428809
"XLOC_004168",-0.0818553234577371,1.71983848555869,-1.69602552237451,0.0942406230432974,0.226918757066483,-5.4031900883668
"XLOC_012908",0.0736166678180212,1.70249654841936,1.69595278813726,0.0942544663180378,0.226933496325946,-5.40330885361263
"SLC26A4",-0.22406562799654,1.78291437851173,-1.69585925174438,0.0942722712472802,0.226957770739336,-5.40346157908677
"XLOC_010477",-0.163669461589413,2.8451432732838,-1.6953796427029,0.0943636095042539,0.227159056037927,-5.40424455894325
"HTR3D",-0.145265700065028,1.71585020318031,-1.69531011297942,0.0943768569735704,0.227172337844155,-5.40435805190095
"XLOC_l2_014565",0.202498152858963,2.17857796585106,1.69520686801202,0.0943965310026671,0.227190530075178,-5.40452657013832
"LOC399939",-0.0760731926278644,1.5439494661432,-1.69518931473046,0.0943998762334286,0.227190530075178,-5.40455521997002
"DLEC1",-0.216200263191342,2.89252587717366,-1.69509542242648,0.0944177714824683,0.227214990855452,-5.40470846295225
"SNORA30",-0.253485722739852,2.78960833833525,-1.6944072749676,0.0945490125775605,0.227512190422447,-5.4058313595585
"XLOC_009887",-0.1285689729058,2.01766745016965,-1.69435995180114,0.0945580433712934,0.227515292172554,-5.4059085645167
"PAPLN",0.107727376109711,3.90270181767117,1.69421396445752,0.0945859069351566,0.22754300778209,-5.40614672174502
"ARSF",-0.272881844190049,3.2368746431752,-1.69420740224378,0.0945871595759107,0.22754300778209,-5.40615742660303
"CCDC102A",-0.150083181822994,4.72807369382489,-1.6941779045826,0.0945927904612015,0.22754300778209,-5.40620554530053
"XLOC_l2_001496",0.253014061938337,3.74184835130327,1.69382487674942,0.0946602021523145,0.227686529780015,-5.40678136966105
"LOC100289424",0.139577585346583,1.62002387432908,1.69364326446315,0.0946948968570323,0.227751340439845,-5.40707755471407
"XLOC_l2_007178",0.0508628527517292,1.75884043872411,1.69357269001176,0.0947083820104919,0.227757902604952,-5.40719264419205
"HOXD12",-0.164805601272624,1.90417060692055,-1.69354786774314,0.0947131253482752,0.227757902604952,-5.40723312212306
"C10orf120",0.200340766406358,2.3878293675949,1.69310525001158,0.0947977387120286,0.227942721753322,-5.40795481163264
"XLOC_009836",0.0962149873482196,1.80786531634168,1.69260838671951,0.0948927956411435,0.228152620330682,-5.40876474152138
"TBC1D3P1-DHX40P1",0.237180757675434,3.353905006285,1.69253082218813,0.0949076418602911,0.228169648150379,-5.40889115860202
"TTC3",-0.116925173123628,5.01481208634171,-1.69247156393116,0.094918985452083,0.228178253126038,-5.40898773594982
"ANKRD1",-0.202707917854161,1.62162258716539,-1.69239851154815,0.0949329711295606,0.228193207554026,-5.40910679026465
"USP51",-0.275097928555592,2.29245400295277,-1.69219156775194,0.0949725991014293,0.228269516428421,-5.40944402324814
"LOC100132859",-0.189091597394588,2.77829762748889,-1.69211231682116,0.0949877785616894,0.228269516428421,-5.40957315949168
"RAB3IL1",-0.170533379153518,3.05399477613522,-1.69211105909989,0.094988019477445,0.228269516428421,-5.40957520885359
"HUWE1",-0.0880214403488777,5.82799608420872,-1.69172991253755,0.0950610509039623,0.228426342106757,-5.41019619371991
"PIK3R5",-0.248237375864938,3.3076444869725,-1.69152593583401,0.0951001537080256,0.228485170968487,-5.41052847076445
"XLOC_003574",-0.168251282135708,1.74040585936389,-1.69152109191498,0.0951010824583683,0.228485170968487,-5.41053636103567
"PAMR1",0.292668189585465,4.30013002119331,1.69119226786649,0.0951641469889572,0.228612042995619,-5.41107193460378
"C1orf198",-0.115093335138804,7.7235067141298,-1.69116463672338,0.095169447870165,0.228612042995619,-5.4111169345734
"LILRA3",0.252328382339455,2.94337903705979,1.69103166208597,0.0951949616929918,0.228654641130661,-5.41133348705747
"XLOC_007352",0.0412467337051574,1.46684907573948,1.6909155590308,0.0952172429423381,0.228689468420189,-5.41152255091473
"XLOC_014404",-0.181509453407271,2.06080070219161,-1.69084908986159,0.0952300009100418,0.228701419199502,-5.41163078486261
"BPIFA1",-0.159619232039667,2.02102780128543,-1.6907610436383,0.0952469024894689,0.228723318382131,-5.41177414740197
"XLOC_006414",0.0427499153623616,1.6190145723843,1.69066938557909,0.0952645000124433,0.228746885069506,-5.41192338365301
"FLJ30375",0.0642469204867169,1.53641586536242,1.69036887267612,0.0953222144378279,0.228865979363338,-5.4124126218461
